alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5
alsa-utils 1.2.15.2-2
ani-cli 4.11-1
antigravity 1.23.2-1
archey4 4.15.0.0-1
archlinux-keyring 20260409-1
ark 26.04.0-1
awesome-terminal-fonts 1.1.0-5
awww 0.12.0-1
b43-fwcutter 019-6
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
bc 1.08.2-1
biber 1:2.21-3
bind 9.20.22-1
bluedevil 1:6.6.4-1
blueman 2.4.6-2
bluez 5.86-5
bluez-utils 5.86-5
bpytop 1.0.68-2
brave-bin 1:1.89.137-1
breeze-gtk 6.6.4-1
brightnessctl 0.5.1-3
btrfs-progs 6.19.1-1
bully 1.4.00-1
cantarell-fonts 1:0.311-1
cava 0.10.7-1
cavasik v3.2.0-1
chafa 1.18.1-1
clang 22.1.3-1
cmake 4.3.1-1
cmatrix 2.0-4
cmus 2.12.0-5
code 1.114.0-1
copyq 15.0.0-1
cowpatty 4.8-4
cryfs 1.0.3-3
cryptsetup 2.8.6-1
cups 2:2.4.17-1
dbus-c++ 0.9.0-13
dbus-glib 0.114-1
device-mapper 2.03.39-1
dialog 1:1.3_20260107-1
diffutils 3.12-2
dkms 3.4.0-1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.92-1
dosfstools 4.2-5
downgrade 12.0.1-1
duf 0.9.1-1
dysk 1:3.6.0b-1
e2fsprogs 1.47.4-1
efibootmgr 18-3
efitools 1.9.2-7
elisa 26.04.0-1
endeavouros-branding 26.03.1.1-1
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 26.3-1
eos-apps-info 26-1
eos-hooks 1.16.2-1
eos-log-tool 25.10-1
eos-packagelist 2.3.1-2
eos-quickstart 1.4.1-1
eos-rankmirrors 26-1
ethtool 1:6.19-1
evince 1:48.1-2
ex-vi-compat 2-1
exfatprogs 1.3.2-1
f2fs-tools 1.16.0-3
fakeroot 1.37.2-1
fastfetch 2.61.0-1
ffmpegthumbnailer 2.3.0-1
ffmpegthumbs 26.04.0-1
file-roller 44.6-2
filelight 26.04.0-1
firefox 149.0.2-1
firewalld 2.4.1-1
fish 4.6.0-1
flameshot 13.3.0-2
foremost 1.5.7-7
freetype2 2.14.3-1
fwupd 2.1.1-4
gdb 17.1-3
gdbuspp 3-1
gedit 50.0-3
gio-qt 0.0.16-1
git 2.53.0-1
glances 4.5.3.2-1
glib2-devel 2.88.0-1
glib2-docs 2.88.0-1
gnome-calculator 50.0-1
gnome-disk-utility 46.1-2
gnome-epub-thumbnailer 1.8-2
gnome-keyring 1:50.0-1
gnome-terminal 3.60.0-1
